eet;temp;consumption_vol;hour_eet;work_day;week_day
2021-01-01 00:00:00;2.78;28.75;0;0;4
2021-01-01 01:00:00;2.22;28.75;1;0;4
2021-01-01 02:00:00;2.22;28.5;2;0;4
2021-01-01 03:00:00;1.67;28.5;3;0;4
2021-01-01 04:00:00;1.67;29.0;4;0;4
2021-01-01 05:00:00;1.11;29.0;5;0;4
2021-01-01 06:00:00;1.11;29.5;6;0;4
2021-01-01 07:00:00;1.67;30.0;7;0;4
2021-01-01 08:00:00;2.22;29.75;8;0;4
2021-01-01 09:00:00;2.78;29.75;9;0;4
2021-01-01 10:00:00;4.44;30.5;10;0;4
2021-01-01 11:00:00;6.11;30.0;11;0;4
2021-01-01 12:00:00;7.78;30.25;12;0;4
2021-01-01 13:00:00;7.78;29.75;13;0;4
2021-01-01 14:00:00;7.78;31.0;14;0;4
2021-01-01 15:00:00;7.78;31.5;15;0;4
2021-01-01 16:00:00;6.67;31.5;16;0;4
2021-01-01 17:00:00;5.56;31.0;17;0;4
2021-01-01 18:00:00;4.44;30.0;18;0;4
2021-01-01 19:00:00;3.89;28.75;19;0;4
2021-01-01 20:00:00;2.78;28.75;20;0;4
2021-01-01 21:00:00;2.22;28.5;21;0;4
2021-01-01 22:00:00;1.11;28.75;22;0;4
2021-01-01 23:00:00;0.56;30.5;23;0;4
2021-01-02 00:00:00;-0.56;29.5;0;0;5
2021-01-02 01:00:00;0.56;29.5;1;0;5
2021-01-02 02:00:00;1.67;29.75;2;0;5
2021-01-02 03:00:00;2.78;29.75;3;0;5
2021-01-02 04:00:00;2.78;30.0;4;0;5
2021-01-02 05:00:00;2.78;30.0;5;0;5
2021-01-02 06:00:00;2.78;30.0;6;0;5
2021-01-02 07:00:00;3.33;30.25;7;0;5
2021-01-02 08:00:00;3.89;30.0;8;0;5
2021-01-02 09:00:00;3.89;30.25;9;0;5
2021-01-02 10:00:00;5.56;30.0;10;0;5
2021-01-02 11:00:00;7.22;30.5;11;0;5
2021-01-02 12:00:00;8.89;31.0;12;0;5
2021-01-02 13:00:00;8.89;31.0;13;0;5
2021-01-02 14:00:00;8.33;30.5;14;0;5
2021-01-02 15:00:00;8.33;31.0;15;0;5
2021-01-02 16:00:00;6.67;30.25;16;0;5
2021-01-02 17:00:00;5.0;30.5;17;0;5
2021-01-02 18:00:00;3.33;32.0;18;0;5
2021-01-02 19:00:00;2.78;31.5;19;0;5
2021-01-02 20:00:00;2.22;30.75;20;0;5
2021-01-02 21:00:00;1.67;31.0;21;0;5
2021-01-02 22:00:00;1.67;30.5;22;0;5
2021-01-02 23:00:00;1.11;30.25;23;0;5
2021-01-03 00:00:00;1.11;29.75;0;0;6
2021-01-03 01:00:00;1.11;28.75;1;0;6
2021-01-03 02:00:00;0.56;28.0;2;0;6
2021-01-03 03:00:00;0.56;27.75;3;0;6
2021-01-03 04:00:00;0.56;27.75;4;0;6
2021-01-03 05:00:00;0.56;28.0;5;0;6
2021-01-03 06:00:00;0.56;29.5;6;0;6
2021-01-03 07:00:00;1.11;28.75;7;0;6
2021-01-03 08:00:00;1.67;28.5;8;0;6
2021-01-03 09:00:00;2.78;28.25;9;0;6
2021-01-03 10:00:00;3.89;28.25;10;0;6
2021-01-03 11:00:00;5.0;28.0;11;0;6
2021-01-03 12:00:00;6.67;29.0;12;0;6
2021-01-03 13:00:00;6.67;28.25;13;0;6
2021-01-03 14:00:00;6.67;29.25;14;0;6
2021-01-03 15:00:00;6.67;29.5;15;0;6
2021-01-03 16:00:00;6.11;30.25;16;0;6
2021-01-03 17:00:00;5.0;29.75;17;0;6
2021-01-03 18:00:00;4.44;30.25;18;0;6
2021-01-03 19:00:00;3.89;29.5;19;0;6
2021-01-03 20:00:00;3.89;28.5;20;0;6
2021-01-03 21:00:00;3.89;28.25;21;0;6
2021-01-03 22:00:00;3.89;28.5;22;0;6
2021-01-03 23:00:00;3.33;29.25;23;0;6
2021-01-04 00:00:00;3.33;27.25;0;1;0
2021-01-04 01:00:00;3.33;27.25;1;1;0
2021-01-04 02:00:00;3.33;27.0;2;1;0
2021-01-04 03:00:00;3.33;26.75;3;1;0
2021-01-04 04:00:00;3.33;27.25;4;1;0
2021-01-04 05:00:00;3.33;29.5;5;1;0
2021-01-04 06:00:00;3.33;31.75;6;1;0
2021-01-04 07:00:00;3.33;40.5;7;1;0
2021-01-04 08:00:00;3.89;55.0;8;1;0
2021-01-04 09:00:00;4.44;66.25;9;1;0
2021-01-04 10:00:00;5.0;72.0;10;1;0
2021-01-04 11:00:00;5.56;73.5;11;1;0
2021-01-04 12:00:00;6.11;72.25;12;1;0
2021-01-04 13:00:00;5.56;74.5;13;1;0
2021-01-04 14:00:00;5.56;76.0;14;1;0
2021-01-04 15:00:00;5.0;74.75;15;1;0
2021-01-04 16:00:00;3.89;67.0;16;1;0
2021-01-04 17:00:00;2.78;50.0;17;1;0
2021-01-04 18:00:00;1.67;43.25;18;1;0
2021-01-04 19:00:00;0.56;36.75;19;1;0
2021-01-04 20:00:00;-0.56;30.75;20;1;0
2021-01-04 21:00:00;-1.67;30.0;21;1;0
2021-01-04 22:00:00;0.0;29.25;22;1;0
2021-01-04 23:00:00;1.67;30.0;23;1;0
2021-01-05 00:00:00;3.89;28.25;0;1;1
2021-01-05 01:00:00;3.89;27.0;1;1;1
2021-01-05 02:00:00;3.89;27.75;2;1;1
2021-01-05 03:00:00;3.89;27.75;3;1;1
2021-01-05 04:00:00;3.33;27.75;4;1;1
2021-01-05 05:00:00;3.33;28.75;5;1;1
2021-01-05 06:00:00;2.78;33.0;6;1;1
2021-01-05 07:00:00;3.33;43.5;7;1;1
2021-01-05 08:00:00;3.33;60.0;8;1;1
2021-01-05 09:00:00;3.89;74.0;9;1;1
2021-01-05 10:00:00;5.0;81.0;10;1;1
2021-01-05 11:00:00;6.11;77.5;11;1;1
2021-01-05 12:00:00;7.22;72.0;12;1;1
2021-01-05 13:00:00;7.22;72.75;13;1;1
2021-01-05 14:00:00;7.22;73.75;14;1;1
