eet;temp;consumption_vol;hour_eet;work_day;week_day
2020-10-01 00:00:00;9.44;31.0;0;1;3
2020-10-01 01:00:00;9.44;37.5;1;1;3
2020-10-01 02:00:00;8.89;44.25;2;1;3
2020-10-01 03:00:00;8.89;43.75;3;1;3
2020-10-01 04:00:00;9.44;44.25;4;1;3
2020-10-01 05:00:00;9.44;38.25;5;1;3
2020-10-01 06:00:00;9.44;33.75;6;1;3
2020-10-01 07:00:00;11.11;47.5;7;1;3
2020-10-01 08:00:00;12.22;64.5;8;1;3
2020-10-01 09:00:00;13.33;69.0;9;1;3
2020-10-01 10:00:00;13.89;63.75;10;1;3
2020-10-01 11:00:00;15.0;59.0;11;1;3
2020-10-01 12:00:00;15.56;55.0;12;1;3
2020-10-01 13:00:00;16.11;52.25;13;1;3
2020-10-01 14:00:00;16.11;53.0;14;1;3
2020-10-01 15:00:00;16.67;52.75;15;1;3
2020-10-01 16:00:00;16.11;55.0;16;1;3
2020-10-01 17:00:00;15.56;42.25;17;1;3
2020-10-01 18:00:00;15.0;29.5;18;1;3
2020-10-01 19:00:00;13.89;29.0;19;1;3
2020-10-01 20:00:00;12.22;28.5;20;1;3
2020-10-01 21:00:00;11.11;28.0;21;1;3
2020-10-01 22:00:00;11.11;33.25;22;1;3
2020-10-01 23:00:00;10.56;42.0;23;1;3
2020-10-02 00:00:00;10.56;41.25;0;1;4
2020-10-02 01:00:00;10.0;34.75;1;1;4
2020-10-02 02:00:00;9.44;36.25;2;1;4
2020-10-02 03:00:00;8.89;42.0;3;1;4
2020-10-02 04:00:00;9.44;41.5;4;1;4
2020-10-02 05:00:00;9.44;29.5;5;1;4
2020-10-02 06:00:00;10.0;31.0;6;1;4
2020-10-02 07:00:00;11.67;44.25;7;1;4
2020-10-02 08:00:00;13.33;68.0;8;1;4
2020-10-02 09:00:00;15.56;68.5;9;1;4
2020-10-02 10:00:00;17.22;62.0;10;1;4
2020-10-02 11:00:00;19.44;53.0;11;1;4
2020-10-02 12:00:00;21.11;51.25;12;1;4
2020-10-02 13:00:00;21.67;48.5;13;1;4
2020-10-02 14:00:00;22.22;48.5;14;1;4
2020-10-02 15:00:00;23.33;49.25;15;1;4
2020-10-02 16:00:00;22.22;48.0;16;1;4
2020-10-02 17:00:00;21.67;36.25;17;1;4
2020-10-02 18:00:00;21.11;30.25;18;1;4
2020-10-02 19:00:00;19.44;28.5;19;1;4
2020-10-02 20:00:00;18.33;28.5;20;1;4
2020-10-02 21:00:00;16.67;27.75;21;1;4
2020-10-02 22:00:00;16.67;28.0;22;1;4
2020-10-02 23:00:00;16.11;28.0;23;1;4
2020-10-03 00:00:00;15.56;27.75;0;0;5
