eet;temp;consumption_vol;hour_eet;work_day;week_day
2020-09-01 00:00:00;28.33;62.25;0;1;1
2020-09-01 01:00:00;26.11;60.585;1;1;1
2020-09-01 02:00:00;24.44;59.625;2;1;1
2020-09-01 03:00:00;22.22;58.32;3;1;1
2020-09-01 04:00:00;22.22;57.975;4;1;1
2020-09-01 05:00:00;22.78;59.505;5;1;1
2020-09-01 06:00:00;22.78;77.31;6;1;1
2020-09-01 07:00:00;24.44;90.3;7;1;1
2020-09-01 08:00:00;26.67;116.715;8;1;1
2020-09-01 09:00:00;28.89;136.44;9;1;1
2020-09-01 10:00:00;31.11;144.21;10;1;1
2020-09-01 11:00:00;33.33;153.42;11;1;1
2020-09-01 12:00:00;35.56;160.545;12;1;1
2020-09-01 13:00:00;36.11;166.71;13;1;1
2020-09-01 14:00:00;36.67;171.675;14;1;1
2020-09-01 15:00:00;37.22;172.875;15;1;1
2020-09-01 16:00:00;36.67;164.625;16;1;1
2020-09-01 17:00:00;36.67;122.49;17;1;1
2020-09-01 18:00:00;36.11;85.875;18;1;1
2020-09-01 19:00:00;35.0;76.41;19;1;1
2020-09-01 20:00:00;33.89;72.39;20;1;1
2020-09-01 21:00:00;32.78;70.74;21;1;1
2020-09-01 22:00:00;31.11;68.94;22;1;1
2020-09-01 23:00:00;29.44;67.035;23;1;1
2020-09-02 00:00:00;27.78;66.09;0;1;2
2020-09-02 01:00:00;25.56;63.795;1;1;2
2020-09-02 02:00:00;23.33;62.58;2;1;2
2020-09-02 03:00:00;21.11;61.005;3;1;2
2020-09-02 04:00:00;20.56;60.765;4;1;2
2020-09-02 05:00:00;20.56;61.305;5;1;2
2020-09-02 06:00:00;20.0;79.395;6;1;2
2020-09-02 07:00:00;21.11;85.155;7;1;2
2020-09-02 08:00:00;22.78;106.05;8;1;2
2020-09-02 09:00:00;23.89;127.545;9;1;2
2020-09-02 10:00:00;26.11;129.93;10;1;2
2020-09-02 11:00:00;27.78;133.185;11;1;2
2020-09-02 12:00:00;29.44;138.165;12;1;2
2020-09-02 13:00:00;30.56;149.43;13;1;2
2020-09-02 14:00:00;31.11;142.005;14;1;2
2020-09-02 15:00:00;31.67;150.09;15;1;2
2020-09-02 16:00:00;31.11;138.615;16;1;2
2020-09-02 17:00:00;30.56;105.735;17;1;2
2020-09-02 18:00:00;30.0;72.825;18;1;2
2020-09-02 19:00:00;28.89;66.63;19;1;2
